,Name,Overs,Maiden,Runs,Wickets,ECON,0s,4s,6s,Wide,NB,Matches Played
267,Arshdeep Singh,13.1,1,89,0,6.793893129770993,45,10,3,2,1,2
251,Avesh Khan,35.3,2,214,3,6.062322946175638,118,24,5,6,2,5
229,Axar Patel,86.3,6,417,13,4.831981460023175,279,33,10,1,1,13
34,Bhuvneshwar Kumar,134.4,3,742,23,5.520833333333333,434,63,13,33,1,16
159,Chetan Sakariya,8.0,0,34,2,4.25,32,4,0,1,2,1
72,Deepak Chahar,81.0,5,452,15,5.580246913580247,279,52,7,17,3,11
192,Deepak Hooda,25.0,1,119,3,4.76,79,8,3,4,0,6
124,Hardik Pandya,180.4,8,1031,29,5.7150776053215075,543,87,20,37,5,28
98,Jasprit Bumrah,216.6,17,1058,36,4.884579870729455,742,103,9,33,3,23
179,Jayant Yadav,10.0,0,53,0,5.3,30,3,1,1,1,1
361,Jaydev Unadkat,5.0,0,16,1,3.2,20,2,0,0,0,1
64,Kedar Jadhav,16.0,0,83,0,5.1875,51,9,1,3,0,6
56,Khaleel Ahmed,17.0,0,127,4,7.470588235294118,50,11,7,2,0,3
161,Krishnappa Gowtham,8.0,0,49,1,6.125,25,6,0,2,0,1
133,Krunal Pandya,38.0,1,223,2,5.868421052631579,103,8,11,6,0,5
278,Kuldeep Sen,5.0,0,37,2,7.4,16,1,3,3,0,1
304,Kuldeep Yadav,341.4,15,1852,54,5.424721734036321,989,117,56,26,0,40
123,Mayank Agarwal,1.0,0,10,0,10.0,2,2,0,0,0,1
67,Mohammed Shami,211.5,12,1259,49,5.952718676122932,723,151,24,44,1,27
311,Mohammed Siraj,175.8,19,815,43,4.635949943117178,712,102,10,41,1,23
358,Mukesh Kumar,15.0,2,69,4,4.6,66,8,1,6,2,3
120,Navdeep Saini,70.0,0,481,6,6.871428571428571,203,54,11,11,4,8
163,Nitish Rana,3.0,0,10,0,3.3333333333333335,9,0,0,0,0,1
239,Prasidh Krishna,111.8,7,598,25,5.348837209302325,420,73,13,16,3,14
160,Rahul Chahar,10.0,0,54,3,5.4,31,6,0,0,2,1
253,Ravi Bishnoi,8.0,0,69,1,8.625,21,7,1,4,1,1
171,Ravichandran Ashwin,20.0,1,121,1,6.05,44,8,2,2,0,2
343,Ravindra Jadeja,193.0,2,987,20,5.1139896373057,564,62,26,9,6,24
279,Shahbaz Ahmed,26.0,0,125,3,4.8076923076923075,75,11,1,0,0,3
314,Shardul Thakur,237.9,10,1474,52,6.19588062211013,746,141,42,54,11,33
69,Shivam Dube,7.5,0,68,0,9.066666666666666,13,9,1,0,0,1
77,Shreyas Iyer,5.1,0,37,0,7.254901960784315,14,2,2,2,0,4
126,T Natarajan,20.0,1,143,3,7.15,59,14,4,11,1,2
303,Umran Malik,61.0,2,399,13,6.540983606557377,192,51,6,11,4,9
174,Venkatesh Iyer,5.0,0,28,0,5.6,10,2,0,0,0,1
14,Vijay Shankar,5.2,0,22,2,4.230769230769231,19,2,0,2,0,1
321,Washington Sundar,76.0,2,370,15,4.868421052631579,246,24,12,7,1,13
168,Yuzvendra Chahal,260.2,2,1511,49,5.8070714834742505,761,96,57,29,3,29
