,Id,Team1,Team2,Winner,Margin,Date
0,"ODI
                                    no. 4150",South Africa,India,India ," 6 wickets (with 15 balls
                                    remaining)",05 June 2019
0,ODI no. 4155,India,Australia,India , 36 runs,09 June 2019
0,ODI no. 4161,India,Pakistan,India , 89 runs (D/L method),16 June 2019
0,"ODI
                                    no. 4169",India,Afghanistan,India ,"
                                    11 runs","22
                                  June 2019"
0,ODI no. 4175,India,West Indies,India , 125 runs,27 June 2019
0,ODI no. 4179,England,India,England , 31 runs,30 June 2019
0,ODI no. 4182,India,Bangladesh,India , 28 runs,02 July 2019
0,ODI no. 4187,Sri Lanka,India,India , 7 wickets (with 39 balls remaining),06 July 2019
0,ODI no. 4190,New Zealand,India,New Zealand , 18 runs,"9,10 July 2019"
0,ODI no. 4196,West Indies,-,No result,No result,8 August 2019
0,ODI no. 4197,India,West Indies,India , 59 runs (D/L method),11 August 2019
0,ODI no. 4199,West Indies,India,India , 6 wickets (with 15 balls remaining) (D/L method),14 August 2019
0,ODI no. 4221,India,West Indies,West Indies , 8 wickets (with 13 balls remaining),15 December 2019
0,ODI no. 4222,India,West Indies,India , 107 runs,18 December 2019
0,ODI no. 4223,West Indies,India,India , 4 wickets (with 8 balls remaining),22 December 2019
0,ODI no. 4231,India,Australia,Australia , 10 wickets (with 74 balls remaining),14 January 2020
0,ODI no. 4232,India,Australia,India , 36 runs,17 January 2020
0,ODI no. 4233,Australia,India,India , 7 wickets (with 15 balls remaining),19 January 2020
0,ODI no. 4235,India,New Zealand,New Zealand , 4 wickets (with 11 balls remaining),5 February 2020
0,ODI no. 4239,New Zealand,India,New Zealand , 22 runs,8 February 2020
0,ODI no. 4243,India,New Zealand,New Zealand , 5 wickets (with 17 balls remaining),11 February 2020
0,ODI no. 4265,Australia,India,Australia , 66 runs,27 November 2020
0,ODI no. 4266,Australia,India,Australia , 51 runs,29 November 2020
0,ODI no. 4267,India,Australia,India , 13 runs,02 December 2020
0,ODI no. 4281,India,England,India , 66 runs,23 March 2021
0,ODI no. 4283,India,England,England , 6 wickets (with 39 balls remaining),26 March 2021
0,ODI no. 4284,India,England,India , 7 runs,28 March 2021
0,ODI no. 4307,Sri Lanka,India,India , 7 wickets (with 80 balls remaining),18 July 2021
0,ODI no. 4309,Sri Lanka,India,India , 3 wickets (with 5 balls remaining),20 July 2021
0,ODI no. 4312,India,Sri Lanka,Sri Lanka , 3 wickets (with 48 balls remaining) (D/L method),23 July 2021
0,"ODI
                                    no. 4344",South Africa,India,"South Africa
                                    ", 31 runs,"19
                                  January 2022"
0,ODI no. 4346,India,South Africa,South Africa , 7 wickets (with 11 balls remaining),21 January 2022
0,ODI no. 4349,South Africa,India,South Africa , 4 runs,23 January 2022
0,ODI no. 4353,West Indies,India,India , 6 wickets (with 132 balls remaining),6 February 2022
0,ODI no. 4355,India,West Indies,India , 44 runs,9 February 2022
0,ODI no. 4356,India,West Indies,India , 96 runs,11 February 2022
0,ODI no. 4424,England,India,India , 10 wickets (with 188 balls remaining),12 July 2022
0,ODI no. 4428,England,India,England , 100 runs,14 July 2022
0,ODI no. 4433,England,India,India , 5 wickets (with 47 balls remaining),17 July 2022
0,ODI no. 4436,India,West Indies,India , 3 runs,22 July 2022
0,ODI no. 4438,West Indies,India,India , 2 wickets (with 2 balls remaining),24 July 2022
0,ODI no. 4439,India,West Indies,India , 119 runs (D/L method),27 July 2022
0,ODI no. 4451,Zimbabwe,India,India , 10 wickets (with 115 balls remaining),18 August 2022
0,ODI no. 4454,Zimbabwe,India,India , 5 wickets (with 146 balls remaining),20 August 2022
0,ODI no. 4457,India,Zimbabwe,India , 13 runs,22 August 2022
0,ODI no. 4470,South Africa,India,South Africa , 9 runs,6 October 2022
0,ODI no. 4471,South Africa,India,India , 7 wickets (with 25 balls remaining),9 October 2022
0,ODI no. 4472,South Africa,India,India , 7 wickets (with 185 balls remaining),11 October 2022
0,ODI no. 4483,India,New Zealand,New Zealand , 7 wickets (with 17 balls remaining),25 November 2022
0,ODI no. 4487,India,-,No result,No result,27 November 2022
0,ODI no. 4489,India,New Zealand,No result,No result,30 November 2022
0,ODI no. 4493,India,Bangladesh,Bangladesh , 1 wicket (with 24 balls remaining),4 December 2022
0,ODI no. 4496,Bangladesh,India,Bangladesh , 5 runs,7 December 2022
0,ODI no. 4499,India,Bangladesh,India , 227 runs,10 December 2022
0,ODI no. 4501,India,Sri Lanka,India , 67 runs,10 January 2023
0,ODI no. 4503,Sri Lanka,India,India , 4 wickets (with 40 balls remaining),12 January 2023
0,ODI no. 4505,India,Sri Lanka,India , 317 runs,15 January 2023
0,ODI no. 4507,India,New Zealand,India , 12 runs,18 January 2023
0,ODI no. 4509,New Zealand,India,India , 8 wickets (with 179 balls remaining),21 January 2023
0,ODI no. 4511,India,New Zealand,India , 90 runs,24 January 2023
0,ODI no. 4538,Australia,India,India , 5 wickets (with 61 balls remaining),17 March 2023
0,ODI no. 4541,India,Australia,Australia , 10 wickets (with 234 balls remaining),19 March 2023
0,ODI no. 4545,Australia,India,Australia , 21 runs,22 March 2023
0,ODI no. 4622,West Indies,India,India , 5 wickets (with 163 balls remaining),27 July 2023
0,ODI no. 4623,India,West Indies,West Indies , 6 wickets (with 80 balls remaining),29 July 2023
0,ODI no. 4624,India,West Indies,India , 200 runs,1 August 2023
