,Name,Batting Style,Bowling Style,Fielding Position,Playing Role
0,Arshdeep Singh,Left hand Bat,Left arm Medium fast,None,Bowler
1,Avesh Khan,Right hand Bat,Right arm Fast medium,None,Bowler
2,Axar Rajeshbhai Patel,Left hand Bat,Slow Left arm Orthodox,None,Bowling Allrounder
3,Bhuvneshwar Kumar Singh,Right hand Bat,Right arm Medium,None,Bowler
4,Chetan Sakariya,Left hand Bat,Left arm Medium fast,None,Bowler
5,Deepak Lokandersingh Chahar,Right hand Bat,Right arm Medium,None,Bowler
6,Deepak Jagbir Hooda,Right hand Bat,Right arm Offbreak,None,Allrounder
7,Hardik Himanshu Pandya,Right hand Bat,Right arm Medium fast,None,Allrounder
8,Ishan Pranav Kumar Pandey Kishan,Left hand Bat,None,Wicketkeeper,Wicketkeeper Batter
9,Jasprit Jasbirsingh Bumrah,Right hand Bat,Right arm Fast,None,Bowler
10,Jayant Yadav,Right hand Bat,Right arm Offbreak,None,Bowler
11,Kannaur Lokesh Rahul,Right hand Bat,None,Wicketkeeper,Wicketkeeper Batter
12,Kedar Mahadav Jadhav,Right hand Bat,Right arm Offbreak,None,Batting Allrounder
13,Krishnappa Gowtham,Right hand Bat,Right arm Offbreak,None,Bowling Allrounder
14,Krunal Himanshu Pandya,Left hand Bat,Slow Left arm Orthodox,None,Allrounder
15,Kuldeep Yadav,Left hand Bat,Left arm Wrist spin,None,Bowler
16,Manish Krishnanand Pandey,Right hand Bat,Right arm Medium,None,Top order Batter
17,Mayank Anurag Agarwal,Right hand Bat,Right arm Offbreak,None,Batter
18,Mohammed Shami Ahmed,Right hand Bat,Right arm Fast,None,Bowler
19,Mohammed Siraj,Right hand Bat,Right arm Fast,None,Bowler
20,Navdeep Amarjeet Saini,Right hand Bat,Right arm Fast,None,Bowler
21,Nitish Rana,Left hand Bat,"Right arm Medium, Right arm Offbreak, Legbreak",None,Middle order Batter
22,Muralikrishna Prasidh Krishna,Right hand Bat,Right arm Fast medium,None,Bowler
23,Prithvi Pankaj Shaw,Right hand Bat,Right arm Offbreak,None,Opening Batter
24,Rahul Desraj Chahar,Right hand Bat,Legbreak Googly,None,Bowler
25,Ravi Bishnoi,Right hand Bat,Legbreak Googly,None,Bowler
26,Ravichandran Ashwin,Right hand Bat,Right arm Offbreak,None,Bowling Allrounder
27,Ravindrasinh Anirudhsinh Jadeja,Left hand Bat,Slow Left arm Orthodox,None,Allrounder
28,Ruturaj Dashrat Gaikwad,Right hand Bat,Right arm Offbreak,None,Batter
29,Sanju Viswanath Samson,Right hand Bat,None,Wicketkeeper,Wicketkeeper Batter
30,Shahbaz Ahmed,Left hand Bat,Slow Left arm Orthodox,None,Allrounder
31,Shardul Narendra Thakur,Right hand Bat,Right arm Medium,None,Bowler
32,Shikhar Dhawan,Left hand Bat,Right arm Offbreak,None,Opening Batter
33,Shivam Dube,Right arm Medium,Allrounder,None,Rizvi Mumbai
34,Shreyas Santosh Iyer,Right hand Bat,"Right arm Offbreak, Legbreak Googly",None,Top order Batter
35,Shubman Gill,Right hand Bat,Right arm Offbreak,None,Opening Batter
36,Suryakumar Ashok Yadav,Right hand Bat,"Right arm Medium, Right arm Offbreak",None,Batter
37,Umran Malik,Right hand Bat,Right arm Fast,None,Bowler
38,Venkatesh Rajasekaran Iyer,Left hand Bat,Right arm Medium,None,Allrounder
39,Vijay Shankar,Right hand Bat,Right arm Medium,None,Allrounder
40,Virat Kohli,Right hand Bat,Right arm Medium,None,Top order Batter
41,Washington Sundar,Left hand Bat,Right arm Offbreak,None,Bowling Allrounder
42,Yuzvendra Singh Chahal,Right hand Bat,Legbreak Googly,None,Bowler
43,Mukesh Kumar,Right hand Bat,Right arm Medium,None,Bowler
